Username,Followers,Confidence,Score_tag,Agreement,Subjectivity,Irony,Tweet
DanSmith1199,0,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Real Sports with Bryant Gumbel: Elena Delle Donne | HBO https://t.co/r5UZQsiJqk via @YouTube what is it with his qrns"""
miller5788,62,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
CenzoSilva,182,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @ultrabrilliant: One second from every episode of Game of Thrones. https://t.co/rFz2CFLwBx"""
CheezAmbassador,92,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @mollymcnearney: We should try holding our politicians to the same standard we've set for producers of Game of Thrones."""
sithmia,37,100,N+,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @danyskylo: the way drogon was playing hide and seek ... what a cutie https://t.co/ezJnpcOgcV"""
Chris__Meneses,21234,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @odairannies: sansa's coronation was literally one of the most beautiful scenes and i will never shut up about it https://t.co/cAqLlKzzad"""
EdoSoros,325,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @mollymcnearney: We should try holding our politicians to the same standard we've set for producers of Game of Thrones."""
mustygyal,1313,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @XSHE_KAE: This man Tyrion beat more court cases than OJ lmaoo"""
vinxentvanhoe,12,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @Thrones_Memes: One second from every episode of Game of Thrones. https://t.co/SXfXqUacPy"""
digitalXlife,29,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Plastic water bottle appears in 'Game of Thrones' finale https://t.co/AK66P7IOlK"""
_harryshands__,4092,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @itsanevergreen: only Game Of Thrones could make me cry over a fucking dress https://t.co/12sSdRD8Oo"""
girlwithadonut,1378,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC,"""RT @sbstryker: Sansa telling a mediocre straight white man to sit the fuck down added five years to my life span"""
THE_GONG_MAN,156,94,N,DISAGREEMENT,OBJECTIVE,NONIRONIC,"""RT @RaheemKassam: Woke Mafia in Panic as Game of Thrones Slays Queen Social Justice Warrior https://t.co/sKPY5FPlGs"""
elainahhhh,303,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @Beavs: Graphic designer.... https://t.co/IsV89t64te"""
1stInSEO,39439,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Plastic water bottle appears in 'Game of Thrones' finale https://t.co/g2A8V2BUUj https://t.co/x33cvU8l7d"""
OnlineLAD,6771,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Plastic water bottle appears in 'Game of Thrones' finale https://t.co/uzWwG5PQER https://t.co/dP0bKB9KfU https://t.co/CifYnpWprM"""
meekyetmighty,102,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @idkkkayla: it's true and she should say it https://t.co/4TgQIpXE17"""
blisstargxy,292,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @wennclarke: Daenerys biggest mistakes. https://t.co/ZkFh9L9J5l"""
gpraimraj,146,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @ladycerseis: cersei lannister knowing she is the last person who sat on the iron throne
https://t.co/ihePlovPMC"""
DenkyuuMedia,2705,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Plastic water bottle appears in 'Game of Thrones' finale https://t.co/WpEcxVOelF https://t.co/Cj9sLZmMjK"""
cass__fm,61,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @ultrabrilliant: One second from every episode of Game of Thrones. https://t.co/rFz2CFLwBx"""
SteveBrookesMBE,20392,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Plastic water bottle appears in 'Game of Thrones' finale https://t.co/dtQZLnJ1NR https://t.co/CgaGkIpZaf"""
xharryzmile,4400,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @TomScibelli: So Jon Snow being Aegon Targaryen and the rightful heir to the Iron Throne just ends up totally not mattering?"""
kwarktaart_,700,100,N+,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @tiabbea: Jon highley wanted Drogon to roast his ass. He been begging for death or peace for the last 4 seasons"""
Mac_Sauced,498,100,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""Wow...Game Of Thrones ending really sucked ass...feel like I wasted 8 years of my time.."""
minicuervo_,3,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Me when i see a Texan @Otaku_Wubs"""
hurleyer,439,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @ToiIetBoy: Game of Thrones fans @ Bran https://t.co/GAe8ZNKLCa"""
skinner_as_,1029,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""This chernobyl hbo miniseries is devastating holy fuck"""
nor_vm,496,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @ultrabrilliant: One second from every episode of Game of Thrones. https://t.co/rFz2CFLwBx"""
MeirSimchah,409,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Like naming a boy Andre..."""
merterenyigit,580,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @MlNOTAURUS: The winner of Game of Thrones receives a one year supply of Anastasia Beverly Hills Cosmetics and a cash prize of $100,000"""
JuddsKidding,483,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC,"""RT @sbstryker: Sansa telling a mediocre straight white man to sit the fuck down added five years to my life span"""
nick_name34,23,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@feyzaltun Dracarys!"""
